repository_id,evidence_id,provider,project_id,metric,publication_timestamp,retrieval_timestamp,validation_status,confidence,source_url,price_usd,market_cap_usd,fdv_usd,circulating_supply,total_supply,max_supply,total_volume_usd,market_cap_rank,categories,ath_usd,ath_date,atl_usd,atl_date
coingecko-market:aave:current_snapshot:2026-07-12T10:34:04.592Z,historical-evidence:market-v1:422f2a2ea15a14123d5675ca550b4f3db8b4edee9931c6fd58b8657a8b95c292,coingecko,aave,current_snapshot,2026-07-12T10:34:04.592Z,2026-07-12T10:34:56.686824+00:00,valid,1.0,https://api.coingecko.com/api/v3/coins/aave?localization=false&tickers=false&market_data=true&community_data=false&developer_data=false&sparkline=false,97.7,1482999645,1563118055,15179911.874935383,16000000.0,16000000.0,233655731,52,Decentralized Finance (DeFi);Yield Farming;BNB Chain Ecosystem;Lending/Borrowing Protocols;Solana Ecosystem;Avalanche Ecosystem;Polygon Ecosystem;Near Protocol Ecosystem;Fantom Ecosystem;Harmony Ecosystem;Arbitrum Ecosystem;Ethereum Ecosystem;Optimism Ecosystem;Base Ecosystem;Index Coop Defi Index;Stablecoin Issuer;Energi Ecosystem;Sora Ecosystem;Huobi ECO Chain Ecosystem;GMCI DeFi Index;Blockchain Capital Portfolio;GMCI Index;World Liberty Financial Portfolio;Coinbase 50 Index;Hydration Ecosystem;Governance;Base Native,661.69,2021-05-18T21:19:59.514Z,26.02,2020-11-05T09:20:11.928Z
coingecko-market:aave:monthly_snapshot:2025-08-15T00:00:00+00:00,historical-evidence:market-v1:3868e568f56af9a3d8792f6dbe22cd0dbfaaa20e8e9c12e33dda944cb28ff7a5,coingecko,aave,monthly_snapshot,2025-08-15T00:00:00+00:00,2026-07-12T10:38:25.986637+00:00,valid,0.9,https://api.coingecko.com/api/v3/coins/aave/history?date=15-08-2025&localization=false,313.87306815636003,4775208005.919021,,,,,814917722.0209739,,,,,,
coingecko-market:aave:monthly_snapshot:2025-09-15T00:00:00+00:00,historical-evidence:market-v1:dfa696ea4fca2a5cbb2e60c7c62ebe88f0b4818ad4e6b67d403ddb33cd88af0a,coingecko,aave,monthly_snapshot,2025-09-15T00:00:00+00:00,2026-07-12T10:36:52.988626+00:00,valid,0.9,https://api.coingecko.com/api/v3/coins/aave/history?date=15-09-2025&localization=false,306.43467496415775,4667622436.092572,,,,,314290204.42838293,,,,,,
coingecko-market:aave:monthly_snapshot:2025-10-15T00:00:00+00:00,historical-evidence:market-v1:c513906894ee32a1d1bda8a931b28c79805a0b91042bf3562093a888d178ea35,coingecko,aave,monthly_snapshot,2025-10-15T00:00:00+00:00,2026-07-12T10:36:50.221334+00:00,valid,0.9,https://api.coingecko.com/api/v3/coins/aave/history?date=15-10-2025&localization=false,255.58736266984852,3898642858.8882127,,,,,520740051.43534964,,,,,,
coingecko-market:aave:monthly_snapshot:2025-11-15T00:00:00+00:00,historical-evidence:market-v1:ec03f2677c09df82751e886ed1f10aeded56c7ad4fc74457b8ff03b36e3b5e50,coingecko,aave,monthly_snapshot,2025-11-15T00:00:00+00:00,2026-07-12T10:36:47.624138+00:00,valid,0.9,https://api.coingecko.com/api/v3/coins/aave/history?date=15-11-2025&localization=false,174.46636631144224,2649267180.8641825,,,,,679298740.3344117,,,,,,
coingecko-market:aave:monthly_snapshot:2025-12-15T00:00:00+00:00,historical-evidence:market-v1:981c703c7cff0232a3923dc09cb0aa8af9add387790e4dae5c04daffd964accf,coingecko,aave,monthly_snapshot,2025-12-15T00:00:00+00:00,2026-07-12T10:36:45.035786+00:00,valid,0.9,https://api.coingecko.com/api/v3/coins/aave/history?date=15-12-2025&localization=false,188.31557542104406,2855666832.4526114,,,,,258827836.94707447,,,,,,
coingecko-market:aave:monthly_snapshot:2026-01-15T00:00:00+00:00,historical-evidence:market-v1:31fc02b65f1d66f12dd20f1550383ed69e1cbdd3d44ed793b9c392ae30ba4d9a,coingecko,aave,monthly_snapshot,2026-01-15T00:00:00+00:00,2026-07-12T10:36:42.446159+00:00,valid,0.9,https://api.coingecko.com/api/v3/coins/aave/history?date=15-01-2026&localization=false,178.65778487321583,2713075050.387275,,,,,355135819.8617544,,,,,,
coingecko-market:aave:monthly_snapshot:2026-02-15T00:00:00+00:00,historical-evidence:market-v1:dd323156590b4d98d2f139cd0813d73d8fb10e6f8e86566f3929c85a7b43e4e9,coingecko,aave,monthly_snapshot,2026-02-15T00:00:00+00:00,2026-07-12T10:35:09.613933+00:00,valid,0.9,https://api.coingecko.com/api/v3/coins/aave/history?date=15-02-2026&localization=false,128.35005995422603,1950286088.6986341,,,,,316524005.83517826,,,,,,
coingecko-market:aave:monthly_snapshot:2026-03-15T00:00:00+00:00,historical-evidence:market-v1:a2b894abfc62456ff8ba25098523dd0726d50b67c2576ef1a786e79912a1278c,coingecko,aave,monthly_snapshot,2026-03-15T00:00:00+00:00,2026-07-12T10:35:07.031294+00:00,valid,0.9,https://api.coingecko.com/api/v3/coins/aave/history?date=15-03-2026&localization=false,111.27071902434793,1689425644.2945142,,,,,211446082.06546947,,,,,,
coingecko-market:aave:monthly_snapshot:2026-04-15T00:00:00+00:00,historical-evidence:market-v1:69d42eacc37fc718575ee9669637d25add94b0019dad8971bd45c8b4cec0b47e,coingecko,aave,monthly_snapshot,2026-04-15T00:00:00+00:00,2026-07-12T10:35:04.447608+00:00,valid,0.9,https://api.coingecko.com/api/v3/coins/aave/history?date=15-04-2026&localization=false,100.14563231825478,1518290248.7626173,,,,,289037484.49905574,,,,,,
